# timestamp tx ty tz qx qy qz qw
1783055702.000000 8.620943 3.865833 0.773293 0.000000 0.000000 0.000000 1.000000
1783055703.000000 8.613076 3.826971 0.770193 0.000000 0.000000 0.000000 1.000000
1783055704.000000 8.591289 3.819038 0.773593 0.000000 0.000000 0.000000 1.000000
1783055705.000000 8.594821 3.830900 0.771693 0.000000 0.000000 0.000000 1.000000
1783055706.000000 8.634076 3.837102 0.775393 0.000000 0.000000 0.000000 1.000000
1783055707.000000 8.701235 3.840905 0.787493 0.000000 0.000000 0.000000 1.000000
1783055708.000000 8.734011 3.846742 0.782293 0.000000 0.000000 0.000000 1.000000
1783055709.000000 8.736137 3.822423 0.796093 0.000000 0.000000 0.000000 1.000000
1783055710.000000 8.731094 3.827781 0.791693 0.000000 0.000000 0.000000 1.000000
1783055711.000000 8.732990 3.836256 0.796193 0.000000 0.000000 0.000000 1.000000
1783055712.000000 8.723174 3.838092 0.790793 0.000000 0.000000 0.000000 1.000000
1783055713.000000 8.725717 3.845288 0.787793 0.000000 0.000000 0.000000 1.000000
1783055714.000000 8.717710 3.841807 0.788793 0.000000 0.000000 0.000000 1.000000
1783055715.000000 8.724644 3.838494 0.792493 0.000000 0.000000 0.000000 1.000000
1783055716.000000 8.725939 3.830932 0.791993 0.000000 0.000000 0.000000 1.000000
1783055717.000000 8.724018 3.835154 0.790793 0.000000 0.000000 0.000000 1.000000
1783055718.000000 8.723540 3.842321 0.789293 0.000000 0.000000 0.000000 1.000000
1783055719.000000 8.720385 3.845920 0.791393 0.000000 0.000000 0.000000 1.000000
1783055720.000000 8.713841 3.837379 0.784393 0.000000 0.000000 0.000000 1.000000
1783055721.000000 8.711804 3.835976 0.789893 0.000000 0.000000 0.000000 1.000000
1783055722.000000 8.711403 3.835390 0.787193 0.000000 0.000000 0.000000 1.000000
1783055723.000000 8.900674 3.931013 0.750693 0.000000 0.000000 0.000000 1.000000
1783055724.000000 9.494844 4.232825 0.711292 0.000000 0.000000 0.000000 1.000000
1783055725.000000 10.226003 4.603556 0.738690 0.000000 0.000000 0.000000 1.000000
1783055726.000000 10.902665 5.097214 0.710389 0.000000 0.000000 0.000000 1.000000
1783055727.000000 11.620199 5.601060 0.714887 0.000000 0.000000 0.000000 1.000000
1783055728.000000 12.222859 5.935617 0.737486 0.000000 0.000000 0.000000 1.000000
1783055729.000000 12.632156 6.051057 0.774485 0.000000 0.000000 0.000000 1.000000
1783055730.000000 12.628207 6.058702 0.750485 0.000000 0.000000 0.000000 1.000000
1783055731.000000 12.622702 6.061184 0.752385 0.000000 0.000000 0.000000 1.000000
1783055732.000000 12.620096 6.083318 0.751685 0.000000 0.000000 0.000000 1.000000
1783055733.000000 12.611086 6.073920 0.749985 0.000000 0.000000 0.000000 1.000000
1783055734.000000 12.617058 6.076756 0.750885 0.000000 0.000000 0.000000 1.000000
1783055735.000000 12.615283 6.085922 0.749985 0.000000 0.000000 0.000000 1.000000
1783055736.000000 12.605037 6.077813 0.755585 0.000000 0.000000 0.000000 1.000000
1783055737.000000 12.599485 6.075069 0.744985 0.000000 0.000000 0.000000 1.000000
1783055738.000000 12.592640 6.079063 0.755185 0.000000 0.000000 0.000000 1.000000
1783055739.000000 12.585573 6.086922 0.750585 0.000000 0.000000 0.000000 1.000000
1783055740.000000 12.589301 6.085445 0.749885 0.000000 0.000000 0.000000 1.000000
1783055741.000000 12.587965 6.082846 0.745885 0.000000 0.000000 0.000000 1.000000
1783055742.000000 12.594018 6.087176 0.747585 0.000000 0.000000 0.000000 1.000000
1783055743.000000 12.594475 6.094882 0.740385 0.000000 0.000000 0.000000 1.000000
1783055744.000000 12.596478 6.103069 0.737585 0.000000 0.000000 0.000000 1.000000
1783055745.000000 12.583790 6.100601 0.742585 0.000000 0.000000 0.000000 1.000000
1783055746.000000 12.807840 6.191826 0.726984 0.000000 0.000000 0.000000 1.000000
1783055747.000000 13.185234 6.443710 0.705983 0.000000 0.000000 0.000000 1.000000
1783055748.000000 13.579559 6.869200 0.712582 0.000000 0.000000 0.000000 1.000000
1783055749.000000 13.865655 7.280032 0.685081 0.000000 0.000000 0.000000 1.000000
1783055750.000000 14.286334 7.602513 0.689779 0.000000 0.000000 0.000000 1.000000
1783055751.000000 14.689218 8.045006 0.677878 0.000000 0.000000 0.000000 1.000000
1783055752.000000 15.107611 8.421904 0.704977 0.000000 0.000000 0.000000 1.000000
1783055753.000000 15.673622 8.539978 0.723775 0.000000 0.000000 0.000000 1.000000
1783055754.000000 16.288349 8.341277 0.690474 0.000000 0.000000 0.000000 1.000000
1783055755.000000 16.699634 8.112484 0.670873 0.000000 0.000000 0.000000 1.000000
1783055756.000000 17.196815 8.153500 0.679172 0.000000 0.000000 0.000000 1.000000
1783055757.000000 17.506768 8.788523 0.640470 0.000000 0.000000 0.000000 1.000000
1783055758.000000 17.965867 9.514020 0.653668 0.000000 0.000000 0.000000 1.000000
1783055759.000000 18.501298 10.119953 0.695765 0.000000 0.000000 0.000000 1.000000
1783055760.000000 18.995459 10.713209 0.733663 0.000000 0.000000 0.000000 1.000000
1783055761.000000 19.462166 11.272179 0.726860 0.000000 0.000000 0.000000 1.000000
1783055762.000000 19.857900 11.822750 0.705658 0.000000 0.000000 0.000000 1.000000
1783055763.000000 20.279059 12.517729 0.697955 0.000000 0.000000 0.000000 1.000000
1783055764.000000 20.736516 13.207727 0.700853 0.000000 0.000000 0.000000 1.000000
1783055765.000000 21.253850 13.843720 0.665350 0.000000 0.000000 0.000000 1.000000
1783055766.000000 21.677501 14.411164 0.685147 0.000000 0.000000 0.000000 1.000000
1783055767.000000 22.029417 14.659342 0.673745 0.000000 0.000000 0.000000 1.000000
1783055768.000000 22.274604 14.476703 0.671845 0.000000 0.000000 0.000000 1.000000
1783055769.000000 22.582256 14.407623 0.680544 0.000000 0.000000 0.000000 1.000000
1783055770.000000 22.622943 14.421256 0.694044 0.000000 0.000000 0.000000 1.000000
1783055771.000000 22.616002 14.413615 0.704744 0.000000 0.000000 0.000000 1.000000
1783055772.000000 22.577961 14.414890 0.701444 0.000000 0.000000 0.000000 1.000000
1783055773.000000 22.532903 14.381048 0.692544 0.000000 0.000000 0.000000 1.000000
1783055774.000000 22.539425 14.207302 0.717344 0.000000 0.000000 0.000000 1.000000
1783055775.000000 22.457380 14.042498 0.697645 0.000000 0.000000 0.000000 1.000000
1783055776.000000 22.297379 13.960883 0.711246 0.000000 0.000000 0.000000 1.000000
1783055777.000000 22.305329 13.921162 0.707446 0.000000 0.000000 0.000000 1.000000
1783055778.000000 22.314806 13.927158 0.708546 0.000000 0.000000 0.000000 1.000000
1783055779.000000 22.300240 13.928597 0.715846 0.000000 0.000000 0.000000 1.000000
1783055780.000000 22.303731 13.920676 0.705046 0.000000 0.000000 0.000000 1.000000
1783055781.000000 22.306906 13.915308 0.711746 0.000000 0.000000 0.000000 1.000000
1783055782.000000 22.303254 13.918659 0.712746 0.000000 0.000000 0.000000 1.000000
1783055783.000000 22.301699 13.910807 0.715346 0.000000 0.000000 0.000000 1.000000
1783055784.000000 22.299004 13.915712 0.710046 0.000000 0.000000 0.000000 1.000000
1783055785.000000 22.304259 13.927038 0.718246 0.000000 0.000000 0.000000 1.000000
1783055786.000000 22.295662 13.927501 0.750946 0.000000 0.000000 0.000000 1.000000
1783055787.000000 22.289419 13.923276 0.748546 0.000000 0.000000 0.000000 1.000000
1783055788.000000 22.291049 13.925073 0.745746 0.000000 0.000000 0.000000 1.000000
1783055789.000000 22.292398 13.926148 0.753246 0.000000 0.000000 0.000000 1.000000
1783055790.000000 22.294777 13.938071 0.746446 0.000000 0.000000 0.000000 1.000000
1783055791.000000 22.292326 13.942720 0.751746 0.000000 0.000000 0.000000 1.000000
1783055792.000000 22.292461 13.942838 0.754146 0.000000 0.000000 0.000000 1.000000
1783055793.000000 22.289863 13.934465 0.745246 0.000000 0.000000 0.000000 1.000000
1783055794.000000 22.285545 13.934952 0.749346 0.000000 0.000000 0.000000 1.000000
1783055795.000000 22.270926 13.940602 0.747346 0.000000 0.000000 0.000000 1.000000
1783055796.000000 22.242132 13.947309 0.743746 0.000000 0.000000 0.000000 1.000000
1783055797.000000 22.234035 13.927944 0.736746 0.000000 0.000000 0.000000 1.000000
1783055798.000000 22.235758 13.938209 0.744646 0.000000 0.000000 0.000000 1.000000
1783055799.000000 22.236431 13.947161 0.734746 0.000000 0.000000 0.000000 1.000000
1783055800.000000 22.246508 13.959404 0.735046 0.000000 0.000000 0.000000 1.000000
1783055801.000000 22.255438 13.976205 0.730246 0.000000 0.000000 0.000000 1.000000
1783055802.000000 22.251202 13.962087 0.737946 0.000000 0.000000 0.000000 1.000000
1783055803.000000 22.240973 13.952878 0.736246 0.000000 0.000000 0.000000 1.000000
1783055804.000000 22.435689 14.014370 0.708645 0.000000 0.000000 0.000000 1.000000
1783055805.000000 23.049733 14.331995 0.677642 0.000000 0.000000 0.000000 1.000000
1783055806.000000 23.782650 14.710767 0.653439 0.000000 0.000000 0.000000 1.000000
1783055807.000000 24.582356 15.013102 0.625835 0.000000 0.000000 0.000000 1.000000
1783055808.000000 25.394855 15.137766 0.599431 0.000000 0.000000 0.000000 1.000000
1783055809.000000 26.332055 15.170488 0.590728 0.000000 0.000000 0.000000 1.000000
